,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Ticker_x,Period_End_Date,Issuer,NAICS_Sector_Name,Country_of_Headquarters,Net_Income_Before_Taxes,Net_Income_After_Taxes,Total_Equity,ROE,ROA,"Total_Assets,_Reported",year,contador_x,contador_y,key2_substring_x,Borrower,Bono,Bono_Chile,Note,Ticker_y,dummy_local,dummy_int,dummy_bono,dummy_bono_chile,dummy_note,key2_substring_y,Issuer_x,key2_substring,Issuer_y,issue_count,issued_more_than_once,average_total_assets,decil,dummy_issue,Año,Period,avg_median_roa,tipical_profits,firm_surplus
2126,328,328,328,2182,BESALCO.SN,2021-12-31 00:00:00,Besalco SA,Construction,Chile,33549060.04,23105617.44,253570285.5,0.091121156,0.021249545,1087346440,2021,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2021,2020-2023,0.027712719,30133326.7,3415733.344
2127,329,329,329,2183,BESALCO.SN,2020-12-31 00:00:00,Besalco SA,Construction,Chile,30977177.88,17740140.89,273055502.6,0.064968992,0.015981332,1110053950,2020,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2020,2020-2023,0.027712719,30762613.55,214564.3303
2176,330,330,330,2184,BESALCO.SN,2019-12-31 00:00:00,Besalco SA,Construction,Chile,29698858.28,18913256.15,253921502.3,0.074484658,0.018301506,1033426229,2019,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2019,2017-2019,0.029001215,29970616.44,-271758.1555
2177,331,331,331,2185,BESALCO.SN,2018-12-31 00:00:00,Besalco SA,Construction,Chile,38753904.89,25969531.64,266067011.6,0.097605229,0.025763563,1007994572,2018,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2018,2017-2019,0.029001215,29233067.48,9520837.409
2178,332,332,332,2186,BESALCO.SN,2017-12-31 00:00:00,Besalco SA,Construction,Chile,33802733.26,24272024.73,304585507.2,0.079688705,0.024056412,1008962782,2017,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2017,2017-2019,0.029001215,29261146.75,4541586.509
2215,333,333,333,2187,BESALCO.SN,2016-12-31 00:00:00,Besalco SA,Construction,Chile,32119445.98,21854391.97,273629456.6,0.079868565,0.023558986,927645711.1,2016,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2016,2013-2016,0.026274758,24373666.41,7745779.57
2216,334,334,334,2188,BESALCO.SN,2015-12-31 00:00:00,Besalco SA,Construction,Chile,34560899.91,27244656.35,251407066.5,0.108368698,0.029757438,915557873.8,2015,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2015,2013-2016,0.026274758,24056061.41,10504838.5
2217,335,335,335,2189,BESALCO.SN,2014-12-31 00:00:00,Besalco SA,Construction,Chile,-27344079.82,-19415430.41,265122470.3,-0.073231931,-0.018663681,1040278717,2014,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2014,2013-2016,0.026274758,27333071.36,-54677151.18
2218,336,336,336,2190,BESALCO.SN,2013-12-31 00:00:00,Besalco SA,Construction,Chile,15728789.26,16056826.58,336752354.8,0.047681408,0.016028657,1001757430,2013,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2013,2013-2016,0.026274758,26320933.88,-10592144.61
1521,348,348,348,1241,COLOCOLO.SN,2023-12-31 00:00:00,Blanco y Negro SA,"Arts, Entertainment, and Recreation",Chile,967604.3063,928672.0116,14340095.16,0.064760519,0.01819629,51036338.55,2023,0,0,COLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64530643.82,6,0,2023,2020-2023,-0.020208252,-1031355.166,1998959.473
